# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
CentOS-71-64-minimal;60;1430927125;31869748;33827184;51.49;125864;31892904;2662048;2.68;24157284;8054568;305716
CentOS-71-64-minimal;60;1430927185;30670568;35026364;53.32;125972;33041700;2676716;2.70;24291748;9077140;249640
CentOS-71-64-minimal;60;1430927245;29575988;36120944;54.98;126060;34123968;2567232;2.59;25972132;8445408;209264
CentOS-71-64-minimal;60;1430927305;28369144;37327788;56.82;126152;35232336;2671764;2.69;26357724;9217156;81152
CentOS-71-64-minimal;60;1430927365;27428504;38268428;58.25;126504;36104380;2730288;2.75;26577284;9896788;539768
CentOS-71-64-minimal;60;1430927425;26570576;39126356;59.56;126812;36887476;2730456;2.75;27281972;10016068;227632
CentOS-71-64-minimal;60;1430927485;25785068;39911864;60.75;126932;37624928;2749908;2.77;27652436;10408224;420572
CentOS-71-64-minimal;60;1430927545;25005588;40691344;61.94;127016;38446316;2692376;2.71;28337716;10484092;411672
CentOS-71-64-minimal;60;1430927605;24208856;41488076;63.15;127096;39190128;2718468;2.74;28662072;10929408;789252
CentOS-71-64-minimal;60;1430927665;23231972;42464960;64.64;127212;40110672;2748884;2.77;29260060;11282788;270012
CentOS-71-64-minimal;60;1430927725;15622068;50074864;76.22;127488;42615296;5621356;5.66;37285228;10921644;262544
