# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
CentOS-71-64-minimal;60;1430927125;-8024.88;0.18;7017.07
CentOS-71-64-minimal;60;1430927185;-4996.58;0.45;4786.65
CentOS-71-64-minimal;60;1430927245;-4560.75;0.37;4509.45
CentOS-71-64-minimal;60;1430927305;-5027.68;0.38;4617.43
CentOS-71-64-minimal;60;1430927365;-3919.33;1.47;3633.52
CentOS-71-64-minimal;60;1430927425;-3574.70;1.28;3262.90
CentOS-71-64-minimal;60;1430927485;-3272.95;0.50;3072.72
CentOS-71-64-minimal;60;1430927545;-3247.83;0.35;3422.45
CentOS-71-64-minimal;60;1430927605;-3319.72;0.33;3099.22
CentOS-71-64-minimal;60;1430927665;-4070.35;0.48;3835.60
CentOS-71-64-minimal;60;1430927725;-31707.93;1.15;10435.93
