starting system statistics data collection
Linux 3.10.0-229.1.2.el7.x86_64 (CentOS-71-64-minimal) 	05/06/2015 	_x86_64_	(16 CPU)

05:44:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:45:25 PM     all     64.01      0.00      7.91      1.43      0.00     26.65
05:46:25 PM     all     62.68      0.00      6.83      1.90      0.00     28.59
05:47:25 PM     all     56.27      0.00      7.83      2.49      0.00     33.41
05:48:25 PM     all     55.92      0.00      7.72      2.38      0.00     33.98
05:49:25 PM     all     46.91      0.00      6.70      2.94      0.00     43.45
05:50:25 PM     all     52.32      0.00      6.40      2.97      0.00     38.31
05:51:25 PM     all     53.36      0.00      7.08      3.30      0.00     36.26
05:52:25 PM     all     58.77      0.00      8.26      2.13      0.00     30.84
05:53:25 PM     all     55.28      0.00      7.29      2.72      0.00     34.71
05:54:25 PM     all     62.88      0.00      6.58      1.77      0.00     28.77
05:55:25 PM     all     17.95      0.00      3.00      1.15      0.00     77.89
Average:        all     53.27      0.00      6.87      2.29      0.00     37.57
